chr	pos	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other	fraction_actuation_normal	fraction_actuation_large	fraction_actuation_small	fraction_actuation_diff_large	fraction_actuation_diff_small	pval_large	pval_small	log_pval_large	log_pval_small	corrected_pvals_large	corrected_pvals_small	log_corrected_pvals_large	log_corrected_pvals_small
chr19	45668220	18	81	5	35	10	39	0.18181818181818182	0.125	0.20408163265306123	-0.05681818181818182	0.022263450834879406	0.4633841988213412	0.8242898440611179	0.33405877952683616	0.08392005099384	1.0	1.0	-0.0	-0.0
chr19	45668255	15	84	5	34	9	40	0.15151515151515152	0.1282051282051282	0.1836734693877551	-0.023310023310023326	0.03215831787260359	1.0	0.6402991766327272	-0.0	0.19361705663919815	1.0	1.0	-0.0	-0.0
chr19	45668256	15	85	5	35	9	40	0.15	0.125	0.1836734693877551	-0.024999999999999994	0.03367346938775512	0.794954427260335	0.63867342603569	0.09965776764121949	0.1947211536183679	1.0	1.0	-0.0	-0.0
chr19	45670255	1	87	0	39	0	44	0.011363636363636364	0.0	0.0	-0.011363636363636364	-0.011363636363636364	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45672617	1	86	1	36	0	45	0.011494252873563218	0.02702702702702703	0.0	0.01553277415346381	-0.011494252873563218	0.509441384736428	1.0	0.29290577780071875	-0.0	1.0	1.0	-0.0	-0.0
chr19	45674927	4	65	1	36	1	47	0.057971014492753624	0.02702702702702703	0.020833333333333332	-0.030943987465726595	-0.03713768115942029	0.6556729586588536	0.6472663313644313	0.1833127271881615	0.1889169829448853	1.0	1.0	-0.0	-0.0
chr19	45675008	3	67	0	37	0	47	0.04285714285714286	0.0	0.0	-0.04285714285714286	-0.04285714285714286	0.5498148474695821	0.27276746242263483	0.2597835364331758	0.5642074365561949	1.0	1.0	-0.0	-0.0
chr19	45677525	15	48	9	31	7	35	0.23809523809523808	0.225	0.16666666666666666	-0.013095238095238076	-0.07142857142857142	1.0	0.46658526841103076	-0.0	0.33106897739138363	1.0	1.0	-0.0	-0.0
chr19	45677636	17	43	11	29	11	30	0.2833333333333333	0.275	0.2682926829268293	-0.008333333333333304	-0.015040650406504041	1.0	1.0	-0.0	-0.0	1.0	1.0	-0.0	-0.0
chr19	45691771	17	64	8	45	12	27	0.20987654320987653	0.1509433962264151	0.3076923076923077	-0.05893314698346144	0.09781576448243118	0.49806435842378755	0.2612621808435859	0.3027145353479219	0.58292345226909	1.0	1.0	-0.0	-0.0
