chr	start	end	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other	fraction_actuation_normal	fraction_actuation_large	fraction_actuation_small	fraction_actuation_diff_large	fraction_actuation_diff_small	pval_large	pval_small	log_pval_large	log_pval_small	corrected_pvals_large	corrected_pvals_small	log_corrected_pvals_large	log_corrected_pvals_small	label_large	label_small
chr19	45667703	45668053	32	69	14	26	16	33	0.31683168316831684	0.35	0.32653061224489793	0.03316831683168314	0.009698929076581098	0.6958140613173147	1.0	0.15750679908539209	-0.0	0.9303707411239113	1.0	0.031343956027069575	-0.0		
chr19	45668830	45669067	30	70	15	25	16	33	0.3	0.375	0.32653061224489793	0.07500000000000001	0.026530612244897944	0.42639653274395595	0.8504985140843331	0.3701863354455778	0.07032644081159847	0.9067203897440306	1.0	0.04252661802571594	-0.0		
chr19	45669240	45669446	39	60	21	19	22	27	0.3939393939393939	0.525	0.4489795918367347	0.1310606060606061	0.05504019789734077	0.1871784445606291	0.5954346775770887	0.7277441660005964	0.22516587603491325	0.667648828584665	0.9220945497275037	0.175451908647361	0.03522454497715269		
chr19	45669438	45669648	34	64	16	24	12	37	0.3469387755102041	0.4	0.24489795918367346	0.053061224489795944	-0.10204081632653061	0.5642552249817286	0.25879550221978204	0.24852441068134523	0.5870432758321771	0.916742608373364	0.8071290221087786	0.03775258303695536	0.09305703639183945		
chr19	45670914	45671277	32	63	16	25	16	31	0.3368421052631579	0.3902439024390244	0.3404255319148936	0.05340179717586652	0.0035834266517357216	0.56302708310539	1.0	0.24947071392249695	-0.0	0.916742608373364	1.0	0.03775258303695536	-0.0		
chr19	45677353	45677714	21	42	16	25	15	29	0.3333333333333333	0.3902439024390244	0.3409090909090909	0.05691056910569109	0.007575757575757569	0.6755343960831961	1.0	0.170352533172186	-0.0	0.9303707411239113	1.0	0.031343956027069575	-0.0		
chr19	45681538	45681769	62	12	38	7	38	5	0.8378378378378378	0.8444444444444444	0.8837209302325582	0.006606606606606613	0.045883092394720326	1.0	0.5933584438592301	-0.0	0.22668287297468256	1.0	0.9220945497275037	-0.0	0.03522454497715269		
chr19	45691846	45692089	78	3	51	2	37	2	0.9629629629629629	0.9622641509433962	0.9487179487179487	-0.0006988120195666747	-0.014245014245014231	1.0	0.6595312584414247	-0.0	0.18076461627088855	1.0	0.9220945497275037	-0.0	0.03522454497715269		
chr19	45692169	45692735	76	7	53	2	36	3	0.9156626506024096	0.9636363636363636	0.9230769230769231	0.047973713033954035	0.007414272474513539	0.31639993477165385	1.0	0.49976361470759023	-0.0	0.7852739017426751	1.0	0.10497883590752367	-0.0		
chr19	45692833	45693119	32	52	15	40	17	23	0.38095238095238093	0.2727272727272727	0.425	-0.10822510822510822	0.04404761904761906	0.20438229446469336	0.6962754763248498	0.6895567296201934	0.15721890093867133	0.667648828584665	0.9220945497275037	0.175451908647361	0.03522454497715269		
