chr	start	end	sample1_FIRE	sample1_other	sample2_FIRE	sample2_other	fraction_actuation_unedited	fraction_actuation_edited	fraction_actuation_diff	percent_induction	pval	log_pval	corrected_pvals	log_corrected_pvals	label
chr11	5111269	5111581	2	3	2	3	0.4	0.4	0.0	0.0	1.0	-0.0	1.0	-0.0	
chr11	5124148	5124341	4	5	4	5	0.4444444444444444	0.4444444444444444	0.0	0.0	1.0	-0.0	1.0	-0.0	
chr11	5243201	5243608	11	17	4	14	0.39285714285714285	0.2222222222222222	-0.17063492063492064	-43.43434343434344	0.3364371476590481	0.4730960576641233	0.5867633275029094	0.2315370372296054	
chr11	5244733	5244928	5	30	5	20	0.14285714285714285	0.2	0.05714285714285716	40.000000000000014	0.7276578176961641	0.13807280038811448	0.8893595549619784	0.05092262466921429	
chr11	5247556	5247860	11	52	9	28	0.1746031746031746	0.24324324324324326	0.06864006864006866	39.312039312039325	0.44453990444292973	0.3520892481886785	0.6112423686090284	0.21378655002239705	
chr11	5249241	5249501	13	63	12	30	0.17105263157894737	0.2857142857142857	0.11466165413533833	67.03296703296702	0.16313747266963452	0.7874462700792038	0.5170940170940171	0.28643048709369273	
chr11	5249784	5250110	6	74	15	29	0.075	0.3409090909090909	0.2659090909090909	354.5454545454545	0.0003036142002246034	3.517677920079042	0.0033397562024706376	2.4762852349208164	HBG1 promoter
chr11	5252341	5252553	9	65	12	28	0.12162162162162163	0.3	0.17837837837837836	146.66666666666663	0.0241952530037311	1.6162698322224442	0.13307389152052104	0.8759071427282004	
chr11	5254087	5254354	20	56	8	37	0.2631578947368421	0.17777777777777778	-0.0853801169590643	-32.444444444444436	0.37339484477457874	0.4278316823735736	0.5867633275029094	0.2315370372296054	
chr11	5254485	5254806	22	57	17	28	0.27848101265822783	0.37777777777777777	0.09929676511954993	35.65656565656566	0.31512943324921755	0.501511031606242	0.5867633275029094	0.2315370372296054	HBG2 promoter
chr11	5264513	5264704	0	15	2	10	0.0	0.16666666666666666	0.16666666666666666	inf	0.18803418803418806	0.7257631809239553	0.5170940170940171	0.28643048709369273	
