chr	start	end	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other
chr19	45664741	45664984	5	43	1	14	1	28
chr19	45667703	45668053	32	69	14	26	16	33
chr19	45668830	45669067	30	70	15	25	16	33
chr19	45669240	45669446	39	60	21	19	22	27
chr19	45669438	45669648	34	64	16	24	12	37
chr19	45670914	45671277	32	63	16	25	16	31
chr19	45677353	45677714	21	42	16	25	15	29
chr19	45681538	45681769	62	12	38	7	38	5
chr19	45691846	45692089	78	3	51	2	37	2
chr19	45692169	45692735	76	7	53	2	36	3
chr19	45692833	45693119	32	52	15	40	17	23
chr19	45693394	45693595	64	25	38	16	26	12
chr19	45707334	45707564	34	66	27	45	31	16
chr19	45716627	45716832	18	60	14	41	5	32
chr19	45717243	45717586	76	1	52	2	31	2
chr19	45717268	45717778	77	2	52	3	31	2
chr19	45717695	45717982	55	25	35	20	26	7
chr19	45722008	45722358	21	62	13	43	2	18
chr19	45722663	45722896	22	64	16	40	3	15
chr19	45730083	45730260	32	80	14	33	11	27
chr19	45730287	45730489	28	84	10	39	7	34
chr19	45730798	45731196	102	6	44	4	43	2
chr19	45746974	45747200	25	82	12	46	3	23
chr19	45749503	45749735	31	72	7	52	10	18
chr19	45766922	45767148	46	44	14	21	9	21
chr19	45767445	45767728	62	31	20	12	17	14
chr19	45767633	45767898	63	28	14	19	20	11
chr19	45768152	45768378	37	56	12	18	13	18
chr19	45768377	45768613	35	58	11	18	15	16
chr19	45768738	45768932	40	52	8	21	14	18
chr19	45769240	45769726	86	9	14	11	26	6
chr19	45770259	45770487	79	15	12	33	27	9
chr19	45770597	45770954	87	7	9	19	29	4
chr19	45779573	45779776	52	52	15	30	15	24
chr19	45781257	45781431	26	66	5	39	3	39
chr19	45781596	45781786	25	70	6	38	15	28
chr19	45781848	45782077	40	59	14	30	17	24
chr19	45782052	45782252	43	57	12	32	13	27
chr19	45782435	45782616	42	55	14	29	12	27
chr19	45782855	45783059	67	33	28	14	19	16
chr19	45783128	45783349	65	36	30	12	24	11
chr19	45783520	45783730	31	66	9	33	13	22
chr19	45792709	45793153	86	16	44	3	26	6
chr19	45799024	45799290	89	18	51	7	33	9
chr19	45799077	45799507	91	21	52	7	33	12
chr19	45800130	45800348	33	81	17	47	8	37
chr19	45806505	45806797	53	52	23	35	19	17
chr19	45809805	45810024	42	63	24	29	9	21
chr19	45810188	45810359	26	78	27	27	12	17
chr19	45817186	45817471	61	43	37	33	23	23
