$chr	pos	norm_FIRE	norm_other	large_FIRE	large_other	pval_large	small_FIRE	small_other	pval_small
DM1 locus promoter actuation
chr19	45668220	18	81	5	35	0.4633841988213413	10	39	0.8242898440611178
chr19	45668255	15	84	5	34	1.0	9	40	0.6402991766327273
chr19	45668256	15	85	5	35	0.7949544272603352	9	40	0.63867342603569
chr19	45670255	1	87	0	39	1.0	0	44	1.0
chr19	45672617	1	86	1	36	0.509441384736428	0	45	1.0
chr19	45674927	4	65	1	36	0.6556729586588536	1	47	0.6472663313644313
chr19	45675008	3	67	0	37	0.5498148474695821	0	47	0.2727674624226349
chr19	45677525	15	48	9	31	1.0	7	35	0.46658526841103065
chr19	45677636	17	43	11	29	1.0	11	30	1.0
chr19	45691771	17	64	8	45	0.49806435842378743	12	27	0.2612621808435859
chr19	45691917	78	3	50	3	0.6806018154125462	37	1	1.0
chr19	45691940	78	3	51	2	1.0	37	1	1.0
chr19	45691941	78	3	51	2	1.0	37	1	1.0
chr19	45691953	78	3	51	2	1.0	37	1	1.0
chr19	45692316	70	7	44	10	0.12329972411144338	32	6	0.35068432944082184
chr19	45692402	59	17	42	13	1.0	28	10	0.6469464686997877
chr19	45692569	70	5	49	4	1.0	36	2	1.0
chr19	45692665	64	12	44	9	1.0	36	2	0.13658792123799482
chr19	45692672	64	12	42	9	0.8109526268179323	36	1	0.05731486627758714
chr19	45692696	57	19	31	21	0.08128835180842152	32	6	0.3397342602052201
chr19	45692757	28	52	12	42	0.12727951224274464	16	25	0.6931077994752841
chr19	45698479	2	93	3	57	0.3758189609377767	2	31	0.2734120734908136
chr19	45715278	2	88	3	60	0.403076462841073	1	43	1.0
chr19	45717381	76	0	52	1	0.4108527131782946	31	2	0.08970438328236492
chr19	45723496	1	88	1	56	1.0	0	17	1.0
chr19	45730896	98	8	41	5	0.5345222585115295	42	2	0.7240340372107719
chr19	45733438	2	114	0	48	1.0	2	49	0.5864400283396554
chr19	45764784	3	90	1	35	1.0	0	33	0.5662857142857143
chr19	45767795	25	66	4	27	0.14228532541045644	8	21	1.0
chr19	45768386	18	75	4	25	0.5902542036973857	8	23	0.45292177934274985
chr19	45768627	13	80	6	23	0.3890586094414417	6	25	0.5652173852047229
chr19	45768855	29	63	7	21	0.6395227454682014	14	18	0.2808604780108015
chr19	45769252	63	27	7	18	0.00034324596960889887	19	11	0.5046245355917681
chr19	45770981	27	63	1	28	0.002218387896819835	10	22	1.0
chr19	45770995	22	70	1	28	0.013702136346463546	10	23	0.49136716974665584
chr19	45771012	17	75	0	29	0.011516373912683835	10	24	0.22265245712704698
chr19	45771365	0	91	0	30	1.0	2	33	0.07555555555555557
chr19	45772109	2	83	1	27	1.0	1	35	1.0
chr19	45772712	3	88	1	32	1.0	2	35	0.6262231711963423
chr19	45772851	2	89	1	33	1.0	2	34	0.31820167640335284
chr19	45773806	0	94	0	35	1.0	1	40	0.30370370370370375
chr19	45777037	1	94	1	36	0.4835762202174417	1	35	0.47563123899001775
chr19	45777447	5	92	0	37	0.3218880925386565	0	36	0.32289971700587716
chr19	45777954	1	97	0	39	1.0	1	33	0.4502660189683092
chr19	45779359	5	101	2	40	1.0	0	41	0.3223635913763453
chr19	45779569	21	82	4	39	0.14780302843577553	6	33	0.6339119067750916
chr19	45779619	50	53	11	32	0.010730601855046824	15	24	0.34643077239095055
chr19	45780362	1	96	1	44	0.5349115972430327	0	40	1.0
chr19	45780486	4	90	1	43	1.0	0	41	0.31382625113968404
chr19	45780506	4	90	1	43	1.0	0	41	0.31382625113968404
chr19	45780541	5	88	1	43	0.6639193919894549	0	41	0.3227173784461672
chr19	45780544	6	87	1	43	0.4289195164645243	0	41	0.1768838837367646
chr19	45780545	6	87	1	43	0.4289195164645243	0	41	0.1768838837367646
chr19	45780603	8	85	2	41	0.5036491598337864	2	39	0.7230461972460389
chr19	45780747	7	88	1	43	0.4353562340662558	3	38	1.0
chr19	45782388	14	82	2	42	0.09445948377821113	11	28	0.08649713844893676
chr19	45782479	33	59	10	29	0.3112850192781067	12	23	1.0
chr19	45782489	34	62	11	32	0.32739158646987543	12	26	0.8402574331053767
chr19	45782490	35	62	11	32	0.24756553381744573	12	26	0.6908182897415924
chr19	45782496	37	60	12	31	0.2570449217836311	12	26	0.5529563337292047
chr19	45782552	37	60	14	29	0.572304290703756	12	26	0.5529563337292047
chr19	45785659	6	93	3	38	0.7212342224084506	2	36	1.0
chr19	45785713	6	93	2	38	1.0	2	36	1.0
chr19	45785910	4	95	2	38	1.0	2	37	1.0
chr19	45785973	2	98	1	40	1.0	1	38	1.0
chr19	45790176	0	102	0	39	1.0	0	36	1.0
chr19	45791045	0	105	1	41	0.28571428571428575	2	34	0.06382978723404256
chr19	45792437	13	91	9	38	0.3222273894895654	7	25	0.25165569282814665
chr19	45792773	58	40	24	22	0.47289685838410656	20	12	0.8364982241544774
chr19	45792802	77	18	37	9	1.0	24	8	0.45771380024323144
chr19	45792845	80	14	39	6	1.0	25	7	0.41222237636000336
chr19	45810931	1	100	1	49	1.0	1	27	0.38832364341085274
chr19	45815228	1	107	0	61	1.0	1	44	0.5030959752321981
chr19	45815308	1	106	0	61	1.0	0	46	1.0
