chr	start	end	sample1_FIRE	sample1_other	sample2_FIRE	sample2_other	pval_sample1_sample2
chr11	5111269	5111581	2	3	2	3	1.0
chr11	5124148	5124341	4	5	4	5	1.0
chr11	5243201	5243608	11	17	4	14	0.3364371476590481
chr11	5244733	5244928	5	30	5	20	0.7276578176961641
chr11	5247556	5247860	11	52	9	28	0.4445399044429297
chr11	5249241	5249501	13	63	12	30	0.16313747266963452
chr11	5249784	5250110	6	74	15	29	0.00030361420022460335
chr11	5252341	5252553	9	65	12	28	0.024195253003731106
chr11	5254087	5254354	20	56	8	37	0.37339484477457885
chr11	5254485	5254806	22	57	17	28	0.3151294332492176
chr11	5264513	5264704	0	15	2	10	0.18803418803418806
