chr	pos	norm_FIRE	norm_other	large_FIRE	large_other	small_FIRE	small_other
chr19	45668220	18	81	5	35	10	39
chr19	45668255	15	84	5	34	9	40
chr19	45668256	15	85	5	35	9	40
chr19	45670255	1	87	0	39	0	44
chr19	45672617	1	86	1	36	0	45
chr19	45674927	4	65	1	36	1	47
chr19	45675008	3	67	0	37	0	47
chr19	45677525	15	48	9	31	7	35
chr19	45677636	17	43	11	29	11	30
chr19	45691771	17	64	8	45	12	27
chr19	45691917	78	3	50	3	37	1
chr19	45691940	78	3	51	2	37	1
chr19	45691941	78	3	51	2	37	1
chr19	45691953	78	3	51	2	37	1
chr19	45692316	70	7	44	10	32	6
chr19	45692402	59	17	42	13	28	10
chr19	45692569	70	5	49	4	36	2
chr19	45692665	64	12	44	9	36	2
chr19	45692672	64	12	42	9	36	1
chr19	45692696	57	19	31	21	32	6
chr19	45692757	28	52	12	42	16	25
chr19	45698479	2	93	3	57	2	31
chr19	45715278	2	88	3	60	1	43
chr19	45717381	76	0	52	1	31	2
chr19	45723496	1	88	1	56	0	17
chr19	45730896	98	8	41	5	42	2
chr19	45733438	2	114	0	48	2	49
chr19	45764784	3	90	1	35	0	33
chr19	45767795	25	66	4	27	8	21
chr19	45768386	18	75	4	25	8	23
chr19	45768627	13	80	6	23	6	25
chr19	45768855	29	63	7	21	14	18
chr19	45769252	63	27	7	18	19	11
chr19	45770981	27	63	1	28	10	22
chr19	45770995	22	70	1	28	10	23
chr19	45771012	17	75	0	29	10	24
chr19	45771365	0	91	0	30	2	33
chr19	45772109	2	83	1	27	1	35
chr19	45772712	3	88	1	32	2	35
chr19	45772851	2	89	1	33	2	34
chr19	45773806	0	94	0	35	1	40
chr19	45777037	1	94	1	36	1	35
chr19	45777447	5	92	0	37	0	36
chr19	45777954	1	97	0	39	1	33
chr19	45779359	5	101	2	40	0	41
chr19	45779569	21	82	4	39	6	33
chr19	45779619	50	53	11	32	15	24
chr19	45780362	1	96	1	44	0	40
chr19	45780486	4	90	1	43	0	41
chr19	45780506	4	90	1	43	0	41
chr19	45780541	5	88	1	43	0	41
chr19	45780544	6	87	1	43	0	41
chr19	45780545	6	87	1	43	0	41
chr19	45780603	8	85	2	41	2	39
chr19	45780747	7	88	1	43	3	38
chr19	45782388	14	82	2	42	11	28
chr19	45782479	33	59	10	29	12	23
chr19	45782489	34	62	11	32	12	26
chr19	45782490	35	62	11	32	12	26
chr19	45782496	37	60	12	31	12	26
chr19	45782552	37	60	14	29	12	26
chr19	45785659	6	93	3	38	2	36
chr19	45785713	6	93	2	38	2	36
chr19	45785910	4	95	2	38	2	37
chr19	45785973	2	98	1	40	1	38
chr19	45790176	0	102	0	39	0	36
chr19	45791045	0	105	1	41	2	34
chr19	45792437	13	91	9	38	7	25
chr19	45792773	58	40	24	22	20	12
chr19	45792802	77	18	37	9	24	8
chr19	45792845	80	14	39	6	25	7
chr19	45810931	1	100	1	49	1	27
chr19	45815228	1	107	0	61	1	44
chr19	45815308	1	106	0	61	0	46
chr19	45817133	7	98	6	61	5	41
chr19	45818013	4	101	3	67	4	37
chr19	45824012	3	114	0	75	2	48
chr19	45824161	4	113	3	71	1	49
chr19	45855710	0	0	0	0	0	0
chr19	45855807	0	0	0	0	0	0
chr19	45863130	0	0	0	0	0	0
chr19	45863144	0	0	0	0	0	0
chr19	45863147	0	0	0	0	0	0
