$chr	pos	norm_FIRE	norm_other	large_FIRE	large_other	pval_large	small_FIRE	small_other	pval_small
chr11	5111269	5111581	2	3	2	3	1.0	0	0	1.0
chr11	5124148	5124341	4	5	4	5	1.0	0	0	1.0
chr11	5243201	5243608	11	17	4	14	0.3364371476590481	0	0	1.0
chr11	5244733	5244928	5	30	5	20	0.7276578176961641	0	0	1.0
chr11	5247556	5247860	11	52	9	28	0.4445399044429297	0	0	1.0
chr11	5249241	5249501	13	63	12	30	0.16313747266963452	0	0	1.0
chr11	5249784	5250110	6	74	15	29	0.00030361420022460335	0	0	1.0
chr11	5252341	5252553	9	65	12	28	0.024195253003731106	0	0	1.0
chr11	5254087	5254354	20	56	8	37	0.37339484477457885	0	0	1.0
chr11	5254485	5254806	22	57	17	28	0.3151294332492176	0	0	1.0
chr11	5264513	5264704	0	15	2	10	0.18803418803418806	0	0	1.0
