chrom	start	end
chr19	45664741	45664984
chr19	45667703	45668053
chr19	45668830	45669067
chr19	45669240	45669446
chr19	45669438	45669648
chr19	45670914	45671277
chr19	45677353	45677714
chr19	45681538	45681769
chr19	45691846	45692089
chr19	45692169	45692735
chr19	45692833	45693119
chr19	45693394	45693595
chr19	45707334	45707564
chr19	45716627	45716832
chr19	45717243	45717586
chr19	45717268	45717778
chr19	45717695	45717982
chr19	45722008	45722358
chr19	45722663	45722896
chr19	45730083	45730260
chr19	45730287	45730489
chr19	45730798	45731196
chr19	45746974	45747200
chr19	45749503	45749735
chr19	45766922	45767148
chr19	45767445	45767728
chr19	45767633	45767898
chr19	45768152	45768378
chr19	45768377	45768613
chr19	45768738	45768932
chr19	45769240	45769726
chr19	45770259	45770487
chr19	45770597	45770954
chr19	45779573	45779776
chr19	45781257	45781431
chr19	45781596	45781786
chr19	45781848	45782077
chr19	45782052	45782252
chr19	45782435	45782616
chr19	45782855	45783059
chr19	45783128	45783349
chr19	45783520	45783730
chr19	45792709	45793153
chr19	45799024	45799290
chr19	45799077	45799507
chr19	45800130	45800348
chr19	45806505	45806797
chr19	45809805	45810024
chr19	45810188	45810359
chr19	45817186	45817471
